segment,speaker id
[ 00:00:00.497 -->  00:00:07.787],SPEAKER_02
[ 00:00:07.787 -->  00:00:21.659],SPEAKER_01
[ 00:00:22.469 -->  00:00:23.684],SPEAKER_01
[ 00:00:25.219 -->  00:00:35.226],SPEAKER_00
[ 00:00:30.990 -->  00:00:31.176],SPEAKER_01
[ 00:00:37.673 -->  00:01:14.730],SPEAKER_00
[ 00:01:15.152 -->  00:01:23.826],SPEAKER_02
[ 00:01:24.771 -->  00:01:25.480],SPEAKER_02
[ 00:01:26.762 -->  00:01:41.494],SPEAKER_02
[ 00:01:42.895 -->  00:01:43.469],SPEAKER_00
[ 00:01:43.435 -->  00:01:43.452],SPEAKER_02
[ 00:01:44.886 -->  00:02:05.507],SPEAKER_00
[ 00:02:05.507 -->  00:02:11.160],SPEAKER_01
[ 00:02:13.034 -->  00:02:19.007],SPEAKER_00
[ 00:02:19.007 -->  00:02:23.395],SPEAKER_01
[ 00:02:24.863 -->  00:02:26.922],SPEAKER_01
[ 00:02:27.580 -->  00:02:27.833],SPEAKER_01
[ 00:02:27.647 -->  00:02:36.996],SPEAKER_00
[ 00:02:36.996 -->  00:03:01.077],SPEAKER_02
[ 00:03:01.904 -->  00:03:09.818],SPEAKER_00
[ 00:03:16.956 -->  00:03:19.454],SPEAKER_02
