IPA Symbol,Graphemes,Examples
b,"b, bb","bug, bubble"
d,"d, dd, ed","dad, add, milled"
f,"f, ff, ph, gh, lf, ft","fat, cliff, phone, enough, half, often"
g,"g, gg, gh,gu,gue","gun, egg, ghost, guest, prologue"
h,"h, wh","hop, who"
dʒ,"j, ge, g, dge, di, gg","jam, wage, giraffe, edge, soldier, exaggerate"
k,"k, c, ch, cc, lk, qu ,q(u), ck, x","kit, cat, chris, accent, folk, bouquet, queen, rack, box"
l,"l, ll","live, well"
m,"m, mm, mb, mn, lm","man, summer, comb, column, palm"
n,"n, nn,kn, gn, pn, mn","net, funny, know, gnat, pneumonic, mnemonic"
p,"p, pp","pin, dippy"
r,"r, rr, wr, rh","run, carrot, wrench, rhyme"
s,"s, ss, c, sc, ps, st, ce, se","sit, less, circle, scene, psycho, listen, pace, course"
t,"t, tt, th, ed","tip, matter, thomas, ripped"
v,"v, f, ph, ve","vine, of, stephen, five"
w,"w, wh, u, o","wit, why, quick, choir"
z,"z, zz, s, ss, x, ze, se","zed, buzz, his, scissors, xylophone, craze"
ʒ,"s, si, z","treasure, division, azure"
tʃ,"ch, tch, tu, te","chip, watch, future, righteous"
ʃ,"sh, ce, s, ci, si, ch, sci, ti","sham, ocean, sure, special, pension, machine, conscience, station"
θ,th ,thongs
ð,th,leather
ŋ,"ng, n, ngue","ring, pink, tongue"
j,"y, i, j","you, onion, hallelujah "
æ,"a, ai, au","cat, plaid, laugh"
eɪ,"a, ai, eigh, aigh, ay, er, et, ei, au, a_e, ea, ey","bay, maid, weigh, straight, pay, foyer, filet, eight, gauge, mate, break, they"
e,"e, ea, u, ie, ai, a, eo, ei, ae","end, bread, bury, friend, said, many, leopard, heifer, aesthetic"
i:,"e, ee, ea, y, ey, oe, ie, i, ei, eo, ay","be, bee, meat, lady, key, phoenix, grief, ski, deceive, people, quay"
ɪ,"i, e, o, u, ui, y, ie","it, england, women, busy, guild, gym, sieve"
aɪ,"i, y, igh, ie, uy, ye, ai, is, eigh, i_e","spider, sky, night, pie, guy, stye, aisle, island, height, kite"
ɒ,"a, ho, au, aw, ough","swan, honest, maul, slaw, fought"
oʊ,"o, oa, o_e, oe, ow, ough, eau, oo, ew","open, moat, bone, toe, sow, dough, beau, brooch, sew"
ʊ,"o, oo, u,ou","wolf, look, bush, would"
ʌ,"u, o, oo, ou","lug, monkey, blood, double"
u:,"o, oo, ew, ue, u_e, oe, ough, ui, oew, ou","who, loon, dew, blue, flute, shoe, through, fruit, manoeuvre, group"
ɔɪ,"oi, oy, uoy","join, boy, buoy"
aʊ,"ow, ou, ough","now, shout, bough"
ə,"a, er, i, ar, our, ur","about, ladder, pencil, dollar, honour, augur "
eəʳ,"air, are, ear, ere, eir, ayer","chair, dare, pear, where, their, prayer"
ɑ:,a,arm 
ɜ:ʳ,"ir, er, ur, ear, or, our, yr","bird, term, burn, pearl, word, journey, myrtle"
ɔ:,"aw, a, or, oor, ore, oar, our, augh, ar, ough, au","paw, ball, fork, poor, fore, board, four, taught, war, bought, sauce"
ɪəʳ,"ear, eer, ere, ier","ear, steer, here, tier"
ʊəʳ,"ure, our","cure, tourist"
